Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.22     0.00      558     0.00     0.00  __gnu_cxx::__normal_iterator<std::thread*, std::vector<std::thread, std::allocator<std::thread> > >::base() const
  0.00      0.22     0.00      557     0.00     0.00  std::vector<int, std::allocator<int> >::begin()
  0.00      0.22     0.00      536     0.00     0.00  std::vector<int, std::allocator<int> >* std::__addressof<std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >&)
  0.00      0.22     0.00      510     0.00     0.35  find_clique_for_startpoint(int, std::vector<int, std::allocator<int> > const&)
  0.00      0.22     0.00      497     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl(std::_Vector_base<int, std::allocator<int> >::_Vector_impl&&)
  0.00      0.22     0.00      495     0.00     0.00  std::vector<int, std::allocator<int> >::vector(std::vector<int, std::allocator<int> >&&)
  0.00      0.22     0.00      489     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl_data::_Vector_impl_data(std::_Vector_base<int, std::allocator<int> >::_Vector_impl_data&&)
  0.00      0.22     0.00      467     0.00     0.00  std::thread::joinable() const
  0.00      0.22     0.00      467     0.00     0.00  void (&std::forward<void (&)(std::vector<int, std::allocator<int> >&)>(std::remove_reference<void (&)(std::vector<int, std::allocator<int> >&)>::type&))(std::vector<int, std::allocator<int> >&)
  0.00      0.22     0.00      464     0.00     0.00  std::thread::~thread()
  0.00      0.22     0.00      462     0.00     0.00  std::operator==(std::thread::id, std::thread::id)
  0.00      0.22     0.00      456     0.00     0.00  std::vector<int, std::allocator<int> >& std::forward<std::vector<int, std::allocator<int> >&>(std::remove_reference<std::vector<int, std::allocator<int> >&>::type&)
  0.00      0.22     0.00      448     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_base(std::_Vector_base<int, std::allocator<int> >&&)
  0.00      0.22     0.00      441     0.00     0.00  std::vector<int, std::allocator<int> >::operator=(std::vector<int, std::allocator<int> > const&)
  0.00      0.22     0.00      440     0.00     0.00  void std::_Destroy<std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >*)
  0.00      0.22     0.00      434     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<int>, int>::_S_propagate_on_copy_assign()
